Time,Team,Player,Play
19:45,Bowie State,Miles Jackson,Turnovr
19:43,Maryland ,Racheed Sulaimon,Missed Layup
19:41,Maryland ,Jake Layman,Rebound
19:40,Bowie State,Justin Beck,Foul
19:20,Maryland,Jake Layman,Missed 2 PTR
19:20,Maryland,Robert Carter,Rebound
19:16,Maryland,Racheed Sulaimon,Missed 3 PTR
19:16,Bowie State,Miles Jackson,Rebound
19:02,Maryland,Team,Rebound
19:02,Bowie State,Andre Jackson,Missed 3 PTR
18:43,Maryland,Robert Carter,Turnovr
18:29,Maryland,Melo Trimble,Rebound
18:29,Bowie State,Justin Beck,Missed Jumper
18:22,Maryland,Melo Trimble,Turnovr
18:16,Maryland,Melo Trimble,Rebound
18:16,Bowie State,Miles Jackson,Missed 3 PTR
18:06,Bowie State,Enuoma Ebinum,Foul
17:56,Maryland,Diamond Stone,Good! Layup
17:33,Maryland,Robert Carter,Rebound
17:33,Bowie State,Dayshawn Wells,Missed Jumper
17:25,Maryland ,Diamond Stone,Good! Layup
17:25,Maryland,Jake Layman,Assist
17:10,Bowie State,Justin Beck,Missed Layup
17:10,Bowie State,Miles Jackson,Rebound
17:06,Bowie State,Miles Jackson,Good! Tip-in
16:49,Bowie State,Dayshawn Wells,Foul
16:39,Maryland,Jake Layman,Good! Layup
16:39,Maryland,Robert Carter,Assist
16:24,Bowie State,Andre Jackson,Missed Jumper
16:24,Bowie State,Justin Beck,Rebound
16:15,Maryland ,Melo Trimble,Foul
16:15,Bowie State,Enuoma Ebinum,Missed Ft Shot
16:15,Bowie State,(Deadball),Rebound
16:15,Bowie State,Enuoma Ebinum,Good! Ft Shot
16:15,Maryland,Jared Nickens,Sub In
16:15,Bowie State,Julian Livingston,Sub In
16:15,Maryland,Melo Trimble,Sub Out
16:15,Bowie State,Michael Briscoe,Sub In
16:15,Bowie State,Miles Jackson,Sub Out
15:50,Bowie State,Enuoma Ebinum,Foul
